,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
72,1583718780,2.6353,2.6353,2.6283,2.6324,2.548927364753544,933.5916117,880.4045407510035,0.005642676616181636,0.02435931080956921,0.018716634193387576,71.4616735794564,0.8834973617729505
73,1583718840,2.6324,2.6324,2.6324,2.6324,2.5489281864891047,2.264151,854.7677483010036,0.005050927073378345,0.02503029303511051,0.019979365961732158,71.4616735794564,0.8467796414525022
74,1583718900,2.6196,2.6197,2.6196,2.6197,2.548986538943052,189.88000263,859.3014309825037,0.003422619584363011,0.024257640442185924,0.020835020857822916,64.79812278304685,0.7393543961472628
75,1583719140,2.5933,2.5933,2.5831,2.5831,2.5493600934283,2315.20247303,943.8339431340034,-0.00030306678224856914,0.020456187380012203,0.02075925416226077,50.254579672996286,0.4604744767443108
76,1583719200,2.5813,2.5849,2.5812,2.5849,2.5493702373450664,68.76681771,922.2722840195033,-0.002696753919514988,0.017388311762867037,0.020085065682382025,50.838972468030455,0.4572396237672012
77,1583719260,2.59,2.59,2.59,2.59,2.5493894452950685,110.0,831.3984075610035,-0.0039133439715466544,0.015193385717948702,0.01910672968949536,52.5401909377324,0.4733702707290338
78,1583719320,2.5877,2.5877,2.5877,2.5877,2.5494759251759582,526.42202825,857.7195089065034,-0.004791708123617528,0.01311709453497345,0.017908802658590982,51.67176108483572,0.431865141059209
79,1583719380,2.5869999999999997,2.5869999999999997,2.5869999999999997,2.5869999999999997,2.549501652504964,160.0,840.7195089065034,-0.0052990039996533645,0.011285047659024272,0.01658405165867764,51.393338274244144,0.3884399980282489
80,1583719440,2.58,2.58,2.5776,2.5776,2.5495758744129096,600.91251405,783.5277613590034,-0.006090264354188985,0.008971221215941405,0.01506148557013039,47.678113374795274,0.2585251129953246
81,1583719560,2.5869999999999997,2.5982,2.5869999999999997,2.5979,2.5505643511440512,5279.84927063,976.1417769555037,-0.0051087634074802905,0.008675531310780027,0.013784294718260318,55.20864072419833,0.4667206784398432
82,1583719680,2.5977,2.5977,2.5977,2.5977,2.550569353572961,25.39342886,976.2534476945036,-0.0043642001257844275,0.008329044561029786,0.012693244686814213,55.124461485124385,0.4255339599462051
83,1583719860,2.5977,2.5977,2.5977,2.5977,2.5506217172899484,266.13363514,946.3101294515035,-0.003784465592195655,0.007962662696569645,0.0117471282887653,55.124461485124385,0.4085075161406866
84,1583720340,2.59,2.59,2.59,2.59,2.550654568518256,200.0,910.9849120630037,-0.003821203615665925,0.006970623769182893,0.010791827384848818,51.61073402205604,0.2946400182350837
85,1583720520,2.5842,2.5845,2.582,2.582,2.5508480669538263,1450.31601262,958.3010757040036,-0.0042528448301009285,0.005475771347222658,0.009728616177323584,48.17492729018974,0.2046176429409375
86,1583721120,2.5803,2.5803,2.573,2.573,2.551415678091625,5700.0,1242.5334638695035,-0.004963500938560564,0.0035242400041228805,0.008487740942683444,44.579418954537935,0.12233416342649155
87,1583721360,2.5486,2.5486,2.5486,2.5486,2.551415099991692,50.7,1243.9436109005035,-0.006783263609808981,8.661430422218785e-06,0.006791925040231199,36.603302241823776,-0.07664231361818784
88,1583721420,2.5423,2.5423,2.5423,2.5423,2.5514139927513715,30.0,1098.1469484005038,-0.008032237676427124,-0.0032483720553027067,0.004783865621124418,34.86859210880682,-0.04199069820485864
89,1583721480,2.5364,2.5364,2.5364,2.5364,2.5514112418127595,45.25901291,1067.9187673715037,-0.00881414505932562,-0.006233815703032608,0.002580329356293012,33.27799585138102,-0.006522099056920407
90,1583721600,2.5544,2.5544,2.5429,2.55,2.5513756895366058,3859.0,1256.1424699725035,-0.007997781552448721,-0.0074168975842678906,0.0005808839681808319,40.06499324996475,0.1627691279559752
91,1583721720,2.5651,2.5651,2.5651,2.5651,2.55138115799234,100.0,1095.6845479265037,-0.006108492881850703,-0.0070547321341325455,-0.0009462392522818437,46.564243830435856,0.3207008933281492
92,1583721780,2.5598,2.5611,2.53,2.5406,2.5505020262505007,33419.7,2719.9899673415034,-0.006159012134942215,-0.008645004420959612,-0.002485992286017397,39.146820901718414,0.11627464562102345
93,1583721840,2.545,2.545,2.5349,2.5349,2.549513364728889,25000.00000002,3969.8767597925043,-0.0062089073972839024,-0.010247126532622277,-0.0040382191353383725,37.644391001312776,0.08537042464129928
94,1583721900,2.5452,2.5452,2.5451,2.5451,2.549512952703795,29.10693078,3961.838106200005,-0.0052269437516201285,-0.010571898824863537,-0.005344955073243406,41.93871089234692,0.21234325407096616
95,1583721960,2.5406,2.5406,2.5406,2.5406,2.5495114803891967,51.12116379,3848.634040738004,-0.004575913485779097,-0.011064846930467276,-0.006488933444688179,40.60994552631453,0.1954858397782387
96,1583722020,2.5366,2.5384,2.5366,2.5384,2.5494628061185507,1291.57048663,3909.7742241840037,-0.004009223874251043,-0.011500463287501985,-0.007491239413250941,39.943636534032066,0.2041822843593063
97,1583722140,2.5346,2.5346,2.5345,2.5345,2.549408620713791,1132.00256916,3960.874352642004,-0.003624456353040609,-0.012021809854551702,-0.008397353501511095,38.730463979430716,0.19598599310306355
98,1583722200,2.5309,2.5312,2.5273,2.5273,2.5491060010026194,4602.83917011,4164.695209735004,-0.0035762216443029453,-0.012867630556889777,-0.00929140891258683,36.52491473415189,0.1597844930969742
99,1583722380,2.512,2.512,2.512,2.512,2.5491029950243123,25.64181462,4157.977300466004,-0.004250219870234957,-0.014604183750380528,-0.01035396388014557,32.31381170431173,0.06497060786644855
100,1583722440,2.5147,2.5147,2.5135,2.5135,2.548828864940497,2484.15844093,4252.139596810004,-0.004259743743956585,-0.0156786435600913,-0.011418899816134715,33.127834477890076,0.12764810294283818
101,1583722500,2.5172,2.5375,2.517,2.5375,2.5486570162804387,3047.25469078,4140.5098678175045,-0.002406682455974737,-0.014427252886103137,-0.0120205704301284,44.60668760631334,0.3710204895424224
102,1583722680,2.5393,2.5393,2.5393,2.5393,2.548656725749169,10.0,4139.740196374504,-0.0008945962282753578,-0.013138815715472596,-0.012244219487197238,45.36417698598771,0.4096102995134509
103,1583722740,2.5229,2.5229,2.5229,2.5229,2.548652209549446,56.48109965,4129.257569600004,-0.0008349351369559972,-0.013287888408392234,-0.012452953271436236,39.99747135091089,0.2389152236876669
104,1583722860,2.5206,2.5221,2.5108,2.5221,2.5464562709909644,25152.442101499997,5376.879674675004,-0.0006912949743379857,-0.01331707198935872,-0.012625777015020734,39.750431278515336,0.23780114926158896
105,1583722920,2.529,2.529,2.529,2.529,2.5464550144196325,25.0,5305.613874044006,-9.576598976872295e-06,-0.012637747763741823,-0.012628171164764952,43.019363765475255,0.352000709959969
106,1583723220,2.5366,2.5366,2.5308,2.5308,2.5463358557631404,3042.35916943,5172.731832515505,0.0006482137136381069,-0.011817904022717318,-0.012466117736355423,43.87485891628477,0.4028767640387288
